병원명,병원구분,분류,명칭,상세,구분,최저비용,최고비용,소재지,반영일,병원바로가기,Ypos,Xpos
(의)성광의료재단 차움의원,의원,이학요법료,도수치료,,상세보기,"50,000","180,000",서울 강남구,9/29/21,새창,37.5233218,127.0441055
365열린가정의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","150,000",서울 강남구,10/27/21,새창,37.4973826,127.0547242
OLE(올래)성형외과의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
가톨릭정형외과의원,의원,이학요법료,도수치료,,상세보기,"30,000","100,000",서울 강남구,9/29/21,새창,37.4845326,126.813311
강남바른정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.4980644,127.0293858
강남성모정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.4973384,127.052077
강남아산재활의학과의원,의원,이학요법료,도수치료,,상세보기,"80,000","80,000",서울 강남구,9/29/21,새창,,
강남조앤조내과소아과의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
강남척앤척의원,의원,이학요법료,도수치료,,상세보기,"100,000","300,000",서울 강남구,9/29/21,새창,37.4992268,127.0275554
강남통쾌의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,37.4998385,127.0389434
김상수마이크로의원,의원,이학요법료,도수치료,,상세보기,"30,000","150,000",서울 강남구,9/29/21,새창,37.5179871,127.0402998
김용훈정형외과의원,의원,이학요법료,도수치료,,상세보기,"70,000","300,000",서울 강남구,5/16/22,새창,37.4873416,127.0515495
김태욱외과의원,의원,이학요법료,도수치료,,상세보기,"175,210","175,210",서울 강남구,9/29/21,새창,37.4887614,127.0532227
김현수내과의원,의원,이학요법료,도수치료,,상세보기,"150,000","150,000",서울 강남구,9/29/21,새창,,
네온정형외과의원,의원,이학요법료,도수치료,,상세보기,"60,000","180,000",서울 강남구,1/3/22,새창,37.5179871,127.0402998
논현신사정형외과의원,의원,이학요법료,도수치료,,상세보기,"130,000","200,000",서울 강남구,9/29/21,새창,37.5150269,127.020372
다편한정형외과의원,의원,이학요법료,도수치료,,상세보기,"60,000","150,000",서울 강남구,9/29/21,새창,37.497226,127.044894
닥터에이미의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
대치삼성정형외과의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,37.4907101,127.0561424
대치에스마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","250,000",서울 강남구,9/29/21,새창,37.4930574,127.0583169
대한건강증진협회서울지회오아시스의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
더강추정형외과의원,의원,이학요법료,도수치료,,상세보기,"60,000","250,000",서울 강남구,9/29/21,새창,37.4955498,127.0292939
더건강의원,의원,이학요법료,도수치료,,상세보기,"100,000","180,000",서울 강남구,9/29/21,새창,37.5074354,127.0375693
더스템의원,의원,,,,,미제출,미제출,서울 강남구,,-,37.5266143,127.0441077
더정형외과의원,의원,이학요법료,도수치료,,상세보기,"120,000","180,000",서울 강남구,9/29/21,새창,37.5083258,127.0587959
더케어마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"150,000","150,000",서울 강남구,9/29/21,새창,37.5052789,127.0483291
더탑재활의학과의원,의원,이학요법료,도수치료,,상세보기,"60,000","180,000",서울 강남구,9/29/21,새창,36.3024383,127.3354989
드림한마음재활의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","270,000",서울 강남구,1/3/22,새창,37.5030095,127.0590063
라뜰리에뒤메드쌍의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
리우재활의학과의원,의원,이학요법료,도수치료,,상세보기,"45,000","150,000",서울 강남구,9/29/21,새창,37.5106601,127.0440422
리턴의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
린의원,의원,이학요법료,도수치료,,상세보기,"80,000","150,000",서울 강남구,9/29/21,새창,37.5246822,127.0474894
마디본의원,의원,이학요법료,도수치료,,상세보기,"100,000","150,000",서울 강남구,9/29/21,새창,37.5047001,127.048034
맑은하늘정형외과의원,의원,이학요법료,도수치료,,상세보기,"110,000","200,000",서울 강남구,9/29/21,새창,37.4985271,127.0520964
모즈의원,의원,이학요법료,도수치료,,상세보기,"100,000","200,000",서울 강남구,9/29/21,새창,37.5244075,127.0438283
문동언마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"140,000","140,000",서울 강남구,9/29/21,새창,37.4942515,127.0139865
미가인의원,의원,이학요법료,도수치료,,상세보기,"50,000","150,000",서울 강남구,9/29/21,새창,,
미프로박재우의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
바른마디의원,의원,이학요법료,도수치료,,상세보기,"30,000","180,000",서울 강남구,9/29/21,새창,37.5074386,127.0597679
박종화의원,의원,이학요법료,도수치료,,상세보기,"50,000","50,000",서울 강남구,9/29/21,새창,37.4971924,127.06143
백세의원,의원,,,,,미제출,미제출,서울 강남구,,-,35.3043536,128.7350147
보그플라스틱의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
본라인의원,의원,이학요법료,도수치료,,상세보기,"97,100","198,800",서울 강남구,9/29/21,새창,37.503206,127.0493328
뷰티앤영의원,의원,,,,,보완요청중,보완요청중,서울 강남구,,새창,,
삼대국민의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,,
삼성밸런스의원,의원,이학요법료,도수치료,,상세보기,"100,000","300,000",서울 강남구,9/29/21,새창,37.5126016,127.0508054
삼성웰재활의학과의원,의원,이학요법료,도수치료,,상세보기,"120,000","180,000",서울 강남구,9/29/21,새창,37.5071218,127.0560618
새생명 한 의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
서울강남재활의학과의원,의원,이학요법료,도수치료,,상세보기,"50,000","250,000",서울 강남구,9/29/21,새창,37.495847,127.0527545
서울생생정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","250,000",서울 강남구,9/29/21,새창,37.5086361,127.0586131
서울성모신경외과의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,37.5139077,127.0315417
서울연세21세기의원,의원,이학요법료,도수치료,,상세보기,"70,000","70,000",서울 강남구,9/29/21,새창,37.5099924,127.0238235
서울정석정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,0,0
서울휴재활의학과의원,의원,이학요법료,도수치료,,상세보기,"30,000","150,000",서울 강남구,9/29/21,새창,37.3676718,127.1076973
세연마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.5168437,127.0198235
수서그린나츄라의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
수서정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.488566,127.1041591
슈어스성형외과의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
스마트정형외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","50,000",서울 강남구,9/29/21,새창,35.8254893,128.5298354
시너지정형외과의원,의원,이학요법료,도수치료,,상세보기,"30,000","80,000",서울 강남구,9/29/21,새창,37.5154506,127.0364282
신우신경외과재활의학과의원,의원,이학요법료,도수치료,,상세보기,"50,000","50,000",서울 강남구,9/29/21,새창,37.521843,127.0368945
씨엔에스정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.4939501,127.0629299
아비스가정의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","160,000",서울 강남구,9/29/21,새창,,
